config,science,cost
000000100100000000010000000010000001000010000000000000000000,0.1473392440895367,2656.4990523279225
000001001001001001010000000000000010010000100001000000000000,0.10880265848187742,5254.536866387724
000000000000000000010000000000100100010000000001000100000010,0.08519900257639901,2717.773933989877
000000000000011000000000000000000000000000000000000000001000,0.06422622155135316,1515.7582669772082
000010000100010011000000000000011000001010000000000100000000,0.08655685204822028,7344.722362095094
000000100100000000010000000010000000010000001000000000000000,0.07786496768212102,2769.070222474421
000010111000100000010000001010000000001000000100000000000000,0.08052631200218796,6550.416473826195
000000000000000000010000000110000001000010000000000000000000,0.041837237641707326,3028.732413228512
000000100100000000010000000000010010010000000001000000000000,0.12497293408953668,2051.89167917292
100000000000000000000000000001000000000000000010000000000000,0.04871923751604679,1472.9295337078008
000000000000000000000001000000000000000000010000000000000000,0.05414406562499996,530.2237844900537
000010000001100000100000000000011000000001000000100000000000,0.1279778294409517,3564.888889255873
000001001001001001011000000000000010010000000000000000000000,0.050966908630558194,5180.135247896749
000000000000000000000000000000100000000100000100100100000001,0.03717626155440956,2997.0824279604
000010000100000011000000000010000001000010000000000000000000,0.12229257300944095,4833.97815869265
000000000000101000110000000010000001011001001000010000000000,0.1547149083132473,5059.367502598814
000000000000101000110000000010000001010001001000000000000000,0.12910659095341648,3926.619301784544
100000000000100000100000000010010001011000000000000000000000,0.10471499822714923,3431.376600402568
010000000011100000000000000000000011000010000000000000000000,0.11856924263641755,2682.172094764212
100000010101000000000000110001100000000100000100000000000000,0.08330677070739778,4643.511789056342
000000100100000000010000000010000001000010000001000000000000,0.14891174408953678,3542.2299356502704
000000110011001000010000000000000000000000000001000000000000,0.12060793817500005,2065.0194631504182
000100100100010011000000000000011000001010000001000000101001,0.1385330324428824,8966.566796439203
000001000000000000000000000000000001011001001000010000000000,0.1261727466478646,4272.295428942124
000001100000010010000000000000001000000000000001000000000000,0.12050045051678315,4176.703022337174
000000001000000000000000000000000000000000000000000010000100,0.04674208312470074,2013.2285603275072
000000010000101000110000000010000001001001001000000000100000,0.13654069499736365,5071.299263627558
000001000000000000000010000000000001011000010000000000000000,0.0932654989824313,2519.05765866209
000000000000101000110000000010000001111001001000010000000000,0.15409869265282428,5334.075622599097
000000000100000000000000000000100000010000000000000000000000,0.07171003853491009,1135.0177074533442
010000100100000000000001000000000000000000010000000000000000,0.10654031982768143,1913.751629835788
000000000000101000110000000010000001001101001000010000000000,0.15170423894017504,5352.836783024231
000000000000000000000000000000000000010000000000000000100000,0.02102594883749997,671.5406656321791
000000000000000000000001000000000000000010010000000000000000,0.06912949332499996,1037.5626420004296
000000110011001001010000000000000000000000000001000000000000,0.13071663987312898,3526.414683111993
000000001000000000000000000000000000000000000000000000010000,0.036955875357035935,833.8098936977176
000000110000000000000100000000100000010000000000000000000000,0.09130913629412096,1633.0101302644275
000000000000000000000000000000100000010000000000000010000000,0.036011376537499966,1284.626128332051
000000100100000000000000000010000000010000000000000000000000,0.06428298736535942,1930.2530844766925
000000100100001000000000000000000001000000000000001010000000,0.13444876847975173,4107.5313772873715
